Karakteristika;Tigar;Lav;Leopard;Ris;Gepard;Domaća mačka
Veličina tijela (cm);195;184-208;91-191;70-120;112-150;46
Duljina repa (cm);99;82,5-93,5;58-110;15-25;60-80;30
Masa tijela (kg);222,3;174,9-225;30,9-72;8,0-25,0;21-27;4,0-5,0
Brzina trčanja (km/h);96;80;58;80;130;48
Izdržljivost tijekom max. Brzine (m);200-300;200-300;200;200;300-400;50-100
Sposobnost penjanja;Loša;Loša;Jako dobar penjač;Dobar penjač;Loš penjač;Dobar penjač
Izgled tijela;Krupan, mišićav, jako velike šape;Mišićavo tijelo, velike šape;Mišićavo, kompaktno tijelo, snažne stražnje noge, velike šape;Malo vitko tijelo s dugim repom;Vitko tijelo i lagane kosti, uzak struk;Malo, vitko tijelo, lagani kostur
Lov;Individualno, iznenadni napad, skrivanje;Lov u grupi, trčanje na dulje udaljenosti;Individualno, noćna životinja, lovi u stablima;Individualno, u šumi, male životinje;Individualno, brzi sprint na otvorenom;Individualno, noćni lov, skrivanje
